Postdate,Display name,Username,Content,Likes,Comments,Retweets,Reach
2023-03-12T03:18:02.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,6
2023-03-12T02:30:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,7
2023-03-12T02:24:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,6
2023-03-12T02:21:54.000Z,KENNETH ANYANG™(Abuja Lawyer),@KENNETH_ANYANG,"The OBI 2023 elections
 STORY in a perfect satire.",1,,1,100
2023-03-12T02:18:02.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,5
2023-03-12T02:15:40.000Z,Julio Argenis,@dumbardillita,"Arriving at Mexico City Airport and picked up by military transport, Venezuelan specialized services to help the ruling party on these 2023 elections in the states ofEstado de Mexico and Coahuila. Smells communism. 
@SenTedCruz
 @SenatorMenendez
 @RepDanCrenshaw
 @CarlosLoret",,,,45
2023-03-12T02:12:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,4
2023-03-12T02:06:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,2
2023-03-12T02:05:30.000Z,Business Ready,@Adahtech1,#2023elections Wonders,,,,22
2023-03-12T02:00:04.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,1
2023-03-12T01:54:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,7
2023-03-12T01:48:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,1
2023-03-12T01:42:02.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,4
2023-03-12T01:00:04.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,4
2023-03-12T00:54:02.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,4
2023-03-12T00:48:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,2
2023-03-12T00:42:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,3
2023-03-12T00:36:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,3
2023-03-12T00:34:05.000Z,Odomama,@Odomama2,"Life and direct! 

Our very dear principal, Mr. Peter Obi, said “on the 18th of March 2023 elections, vote for LP from top to bottom,” & that’s exactly what we would be doing. In Enugu State, I, and every member of my family would be voting for LP from top to bottom.",1,,,211
2023-03-12T00:30:32.000Z,Edgar Diaz,@Chief2912,"#ICYMI 
#Announcement on the #chicagomayoralelection #2023Elections",1,,,107
2023-03-12T00:30:00.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,4
2023-03-12T00:24:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,5
2023-03-12T00:18:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,2
2023-03-12T00:15:05.000Z,Springnewsng,@springnewsng,2023 Elections: Voting,,,,1
2023-03-12T00:12:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,5
2023-03-11T23:36:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,7
2023-03-11T23:30:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,5
2023-03-11T23:24:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,11
2023-03-11T23:22:54.000Z,VOTESMUSTCOUNT,@VOTESMUSTCOUNT,"It's known globally that PO won the 2023 elections.

Why didn't your manipulative ""winnability"" candidate win.",,,,2
2023-03-11T23:18:02.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,9
2023-03-11T23:12:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,11
2023-03-11T23:06:02.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,10
2023-03-11T23:00:05.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,7
2023-03-11T22:58:33.000Z,The Cambridge Union,@cambridgeunion,"Results are in for the Lent Term 2023 elections! 

Congratulations to all the candidates who were elected. We are excited to see what you bring to the Union when you take up your new roles in Michaelmas 2023!",10,,2,"2,255"
2023-03-11T22:57:59.000Z,Zaki Yan'kyaa,@LobiNews,"2023 Elections: how 
@inecnigeria
 brought its integrity into question",,1,,2
2023-03-11T22:54:33.000Z,Adeyinka,@aadeyspeaks,"M.I Abaga Reacts As Governorship Elections Draws Near: Nigerian veteran rapper and performer, M.I Abaga commented on the activities of elected officials in the run-up to the 2023 elections… 

The post M.I Abaga Reacts As Governorship… http://dlvr.it/SklCP3 aadeyspeaks",,,,12
2023-03-11T22:54:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,7
2023-03-11T22:48:01.000Z,Naija Loud Mouth,@naija_loudmouth,"God's will is Godswill Akpabio!! #GodswillAkapabio for Senate 
akwa ibom apc tinubu shettima 2023 Elections obi nigeria lagos akawibomtwitter",,,,8
